code ,label ,label_fr
bul,Bulgarian,Bulgare
hrv,Croatian,Croate
cze,Czech,Tchèque
dan,Danish,Danois
dut,Dutch,Néerlandais
eng,English,Anglais
est,Estonian,Estonien
fin,Finnish,Finois
fre,French,Français
ger,German,Allemand
gre,Greek,Grec
hun,Hungarian,Hongrois
gle,Irish,Irlandais
ita,Italian,Italien
lat,Latvian,Letton
lit,Lithuanian,Lithuanien
mlt,Maltese,Maltais
pol,Polish,Polonais
por,Portuguese,Portugais
rum,Romanian,Roumain
slo,Slovak,Slovaque
slv,Slovenian,Slovène
spa,Spanish,Espagnol
swe,Swedish,Suédois
