identifier,description_en
resourceProvider,"party that supplies the resource"
custodian,"party that accepts accountability and responsability for the data and ensures appropriate care and maintenance of the resource"
owner,"party that owns the resource"
user,"party who uses the resource"
distributor,"party who distributes the resource"
originator,"party who created the resource"
pointOfContact,"party who can be contacted for acquiring knowledge about or acquisition of the resource"
principalInvestigator,"key party responsible for gathering information and conducting research"
processor,"party wha has processed the data in a manner such that the resource has been modified"
publisher,"party who published the resource"
author,"party who authored the resource"
