code,nom_fr,nom_en,Acronyme,Ano,Description_fr,url,html_fr
BCMT,Bureau Central de Magnétisme Terrestre,,BCMT,TS-ANO-4/SNO1,,http://www.bcmt.fr,"<li><a href=""http://www.bcmt.fr"" target=""_blank"">BCMT - Bureau Central de Magnétisme Terrestre (TS-ANO-4/SNO1)</a></li>"
BGI,Bureau Gravimétrique International,International Gravimetric Bureau,BGI,TS-ANO-3/SNO2,,http://bgi.obs-mip.fr/,"<li><a href=""http://bgi.obs-mip.fr/"" target=""_blank"">BGI - Bureau Gravimétrique International (TS-ANO-3/SNO1)</a></li>"
CDGP,Centre de données de géothermie profonde,Data Center for Deep Geothermal Energy,CDGP,,,https://cdgp.u-strasbg.fr/,
EMSO,Observatoire Multidisciplinaire européen du niveau de la mer et le la colonne d’eau,European Multidisciplinary Seafloor and water column Observatory,EMSO France,TS-ANO-6/SNO3,Réseau d’observatoires du fond de la mer et de la colonne d’eau,http://www.emso-fr.org/,
GRACE_LAGEOS,Variations de gravité provenant des données GRACE et LAGEOS du CNES/GRGS,Gravity variations from GRACE and LAGEOS from CNES/CRGS,GRACE-LAGEOS,,Variations de gravité provenant des données de GRACE et LAGEOS du CNES/GRGS,https://grace.obs-mip.fr/,
IDS,International DORIS Service,International DORIS Service,IDS,,,https://ids-doris.org/,
IERS_EOP,International Earth Rotation and Reference Systems Service,International Earth Rotation and Reference Systems Service,IERS-EOP,,,http://hpiers.obspm.fr/eop-pc/index.php,
IGETS,Service international de géodynamique et marée terrestre,International Geodynamics and Earth Tide Service,IGETS,TS-ANO-3/SNO2,,http://igets.u-strasbg.fr/,
IGN_RGP,IGN Reseau GNSS permanent,IGN Reseau GNSS permanent,IGN-RGP,,,http://rgp.ign.fr/,
IPGP,Centre de données de l’Institut de Physique du Globe de Paris,Institut de Physique du Globe de Paris data center,IPGP-datacenter,TS-ANO-1,,http://centrededonnees.ipgp.fr,
ISGI,Service International des indices Géomagnétiques,International Service of Geomagnetic Indices,ISGI,TS-ANO-4/SNO2 ,,http://isgi.unistra.fr/,
ITRF,International Terrestrial Reference Frame,International Terrestrial Reference Frame,ITRF,,,http://itrf.ign.fr/,
OMIV,Observatoire Multidisciplinaire des Instabilités de Versant,Observatoire Multidisciplinaire des Instabilités de Versant,OMIV,TS-ANO-5,,http://www.ano-omiv.cnrs.fr/,
RESIF_RENAG,REseau National GNSS permanent,REseau National GNSS permanent,RESIF-RENAG,TS-ANO-3/SNO1,,http://renag.resif.fr/,
RESIF_seismic,Réseau sismologique et géodésique français,French seismologic and geodetic network,RESIF-seismic,TS-ANO-2,Réseau français de sismologie et géodésie,http://seismology.resif.fr/,
SHOM,Service hydrographique et océanographique de la Marine,Service hydrographique et océanographique de la Marine,SHOM,,Information géographique maritime et littorale de référence,https://data.shom.fr/,
SONEL,SONEL,SONEL,SONEL,,Centre de données GNSS aux marégraphes pour le programme mondial d’observation du niveau de la mer (GLOSS),http://www.sonel.org/,
